checkpoint,method,sector_code,sector_name,action,momentum_strong,mom_score,mom_rank,mom_percentile,eligible
2023-08-31,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,N/A,False,,,,False
2023-08-31,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,N/A,False,,,,False
2023-08-31,hybrid_return_rank_v1,5046,KRX 미디어통신,N/A,False,,,,False
2023-08-31,hybrid_return_rank_v1,5048,KRX 에너지화학,N/A,False,,,,False
2023-08-31,hybrid_return_rank_v1,5049,KRX 철강,N/A,False,,,,False
2023-09-27,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Avoid,False,,,,True
2023-09-27,legacy_rs_ma_v0,1168,KOSPI200 금융,Strong Buy,True,,,,True
2023-09-27,legacy_rs_ma_v0,5042,KRX 산업재,Watch,False,,,,True
2023-09-27,legacy_rs_ma_v0,5044,KRX 반도체,Avoid,False,,,,True
2023-09-27,legacy_rs_ma_v0,5045,KRX 헬스케어,Strong Buy,True,,,,True
2023-09-27,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Strong Buy,True,,,,True
2023-09-27,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Watch,False,,,,True
2023-09-27,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Strong Buy,True,,,,True
2023-09-27,legacy_rs_ma_v0,5046,KRX 미디어통신,Strong Buy,True,,,,True
2023-09-27,legacy_rs_ma_v0,5048,KRX 에너지화학,Avoid,False,,,,True
2023-09-27,legacy_rs_ma_v0,5049,KRX 철강,Hold,False,,,,True
2023-09-27,hybrid_return_rank_v1,1155,KOSPI200 정보기술,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,1168,KOSPI200 금융,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,5042,KRX 산업재,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,5044,KRX 반도체,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,5045,KRX 헬스케어,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,5046,KRX 미디어통신,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,5048,KRX 에너지화학,N/A,False,,,,False
2023-09-27,hybrid_return_rank_v1,5049,KRX 철강,N/A,False,,,,False
2023-10-31,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Watch,False,,,,True
2023-10-31,legacy_rs_ma_v0,1168,KOSPI200 금융,Watch,False,,,,True
2023-10-31,legacy_rs_ma_v0,5042,KRX 산업재,Avoid,False,,,,True
2023-10-31,legacy_rs_ma_v0,5044,KRX 반도체,Avoid,False,,,,True
2023-10-31,legacy_rs_ma_v0,5045,KRX 헬스케어,Watch,False,,,,True
2023-10-31,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Watch,False,,,,True
2023-10-31,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Watch,False,,,,True
2023-10-31,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Watch,False,,,,True
2023-10-31,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2023-10-31,legacy_rs_ma_v0,5048,KRX 에너지화학,Avoid,False,,,,True
2023-10-31,legacy_rs_ma_v0,5049,KRX 철강,Avoid,False,,,,True
2023-10-31,hybrid_return_rank_v1,1155,KOSPI200 정보기술,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,1168,KOSPI200 금융,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,5042,KRX 산업재,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,5044,KRX 반도체,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,5045,KRX 헬스케어,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,5046,KRX 미디어통신,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,5048,KRX 에너지화학,N/A,False,,,,False
2023-10-31,hybrid_return_rank_v1,5049,KRX 철강,N/A,False,,,,False
2023-11-30,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2023-11-30,legacy_rs_ma_v0,1168,KOSPI200 금융,Hold,False,,,,True
2023-11-30,legacy_rs_ma_v0,5042,KRX 산업재,Hold,False,,,,True
2023-11-30,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2023-11-30,legacy_rs_ma_v0,5045,KRX 헬스케어,Hold,False,,,,True
2023-11-30,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Hold,False,,,,True
2023-11-30,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Hold,False,,,,True
2023-11-30,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Hold,False,,,,True
2023-11-30,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2023-11-30,legacy_rs_ma_v0,5048,KRX 에너지화학,Watch,False,,,,True
2023-11-30,legacy_rs_ma_v0,5049,KRX 철강,Avoid,False,,,,True
2023-11-30,hybrid_return_rank_v1,1155,KOSPI200 정보기술,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,1168,KOSPI200 금융,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,5042,KRX 산업재,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,5044,KRX 반도체,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,5045,KRX 헬스케어,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,5046,KRX 미디어통신,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,5048,KRX 에너지화학,N/A,False,,,,False
2023-11-30,hybrid_return_rank_v1,5049,KRX 철강,N/A,False,,,,False
2023-12-28,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2023-12-28,legacy_rs_ma_v0,1168,KOSPI200 금융,Strong Buy,True,,,,True
2023-12-28,legacy_rs_ma_v0,5042,KRX 산업재,Strong Buy,True,,,,True
2023-12-28,legacy_rs_ma_v0,5044,KRX 반도체,Hold,False,,,,True
2023-12-28,legacy_rs_ma_v0,5045,KRX 헬스케어,Strong Buy,True,,,,True
2023-12-28,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Hold,False,,,,True
2023-12-28,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Hold,False,,,,True
2023-12-28,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Hold,False,,,,True
2023-12-28,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2023-12-28,legacy_rs_ma_v0,5048,KRX 에너지화학,Hold,False,,,,True
2023-12-28,legacy_rs_ma_v0,5049,KRX 철강,Hold,False,,,,True
2023-12-28,hybrid_return_rank_v1,1155,KOSPI200 정보기술,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,1168,KOSPI200 금융,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,5042,KRX 산업재,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,5044,KRX 반도체,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,5045,KRX 헬스케어,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,5046,KRX 미디어통신,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,5048,KRX 에너지화학,N/A,False,,,,False
2023-12-28,hybrid_return_rank_v1,5049,KRX 철강,N/A,False,,,,False
2024-01-31,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Avoid,False,,,,True
2024-01-31,legacy_rs_ma_v0,1168,KOSPI200 금융,Hold,False,,,,True
2024-01-31,legacy_rs_ma_v0,5042,KRX 산업재,Avoid,False,,,,True
2024-01-31,legacy_rs_ma_v0,5044,KRX 반도체,Hold,False,,,,True
2024-01-31,legacy_rs_ma_v0,5045,KRX 헬스케어,Hold,False,,,,True
2024-01-31,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Avoid,False,,,,True
2024-01-31,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Watch,False,,,,True
2024-01-31,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Watch,False,,,,True
2024-01-31,legacy_rs_ma_v0,5046,KRX 미디어통신,Strong Buy,True,,,,True
2024-01-31,legacy_rs_ma_v0,5048,KRX 에너지화학,Avoid,False,,,,True
2024-01-31,legacy_rs_ma_v0,5049,KRX 철강,Avoid,False,,,,True
2024-01-31,hybrid_return_rank_v1,1155,KOSPI200 정보기술,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,1168,KOSPI200 금융,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,5042,KRX 산업재,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,5044,KRX 반도체,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,5045,KRX 헬스케어,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,5046,KRX 미디어통신,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,5048,KRX 에너지화학,N/A,False,,,,False
2024-01-31,hybrid_return_rank_v1,5049,KRX 철강,N/A,False,,,,False
2024-02-29,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2024-02-29,legacy_rs_ma_v0,1168,KOSPI200 금융,Hold,False,,,,True
2024-02-29,legacy_rs_ma_v0,5042,KRX 산업재,Strong Buy,True,,,,True
2024-02-29,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2024-02-29,legacy_rs_ma_v0,5045,KRX 헬스케어,Strong Buy,True,,,,True
2024-02-29,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Strong Buy,True,,,,True
2024-02-29,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Strong Buy,True,,,,True
2024-02-29,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Hold,False,,,,True
2024-02-29,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2024-02-29,legacy_rs_ma_v0,5048,KRX 에너지화학,Hold,False,,,,True
2024-02-29,legacy_rs_ma_v0,5049,KRX 철강,Hold,False,,,,True
2024-02-29,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Hold,False,0.36363636363636365,8.0,36.36363636363637,True
2024-02-29,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.5909090909090909,7.0,59.09090909090909,True
2024-02-29,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.7727272727272727,2.0,77.27272727272727,True
2024-02-29,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,0.6818181818181819,6.0,68.18181818181819,True
2024-02-29,hybrid_return_rank_v1,5045,KRX 헬스케어,Strong Buy,True,0.7272727272727273,3.0,72.72727272727273,True
2024-02-29,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.18181818181818182,10.0,18.181818181818183,True
2024-02-29,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Strong Buy,True,0.8636363636363636,1.0,86.36363636363636,True
2024-02-29,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Strong Buy,True,0.7272727272727273,3.0,72.72727272727273,True
2024-02-29,hybrid_return_rank_v1,5046,KRX 미디어통신,Strong Buy,True,0.7272727272727273,3.0,72.72727272727273,True
2024-02-29,hybrid_return_rank_v1,5048,KRX 에너지화학,Avoid,False,0.13636363636363635,11.0,13.636363636363635,True
